effect_id,study_id,study_design,construct,sub_construct,measure_type,sample_context,name,age,cleft_type,cleft_n,cleft_mean,cleft_sd,compare_n,compare_mean,compare_sd,eff_size,var,test_fam,test_analy,test_statistic,test_alpha,num_var,location,year,pal_repair_age,pal_repair_type
248,57,2,1,12,.,1,Percent Correct Manner (words),60,3,20,88.61,11.51,20,96.52,5.03,-0.8906,0.1099,,,,,,1,1,.,1
329,57,2,1,13,.,2,Phonological Processes (conversation),60,3,20,19.99,15.13,20,5.08,4.42,1.3377,0.1224,,,,,,1,1,.,1
346,57,2,1,12,.,2,Percent Correct Place (story retell),60,3,20,76.85,20.45,20,94.94,3.65,-1.2315,0.119,,,,,,1,1,.,1
485,57,2,1,12,.,2,Percent Correct Manner (sentences),60,3,20,87.91,8.47,20,95.58,3.84,-1.1664,0.117,,,,,,1,1,.,1
506,57,2,1,12,.,2,PCC -story retell,60,3,20,72.98,21.35,20,93.61,4.55,-1.3365,0.1223,,,,,,1,1,.,1
512,57,2,1,13,.,1,Phonological Processes (word level),60,3,20,12.46,14.29,20,3.95,4.9,0.7967,0.1079,,,,,,1,1,.,1
567,57,2,1,12,.,2,Percent Correct Manner (conversation),60,3,20,86.11,8.36,20,95.48,3.56,-1.4583,0.1266,,,,,,1,1,.,1
578,57,2,1,12,.,2,PCC - sentences,60,3,20,73.39,21.07,20,95.13,4.02,-1.4333,0.1257,,,,,,1,1,.,1
664,57,2,1,12,.,1,Percent Correct Places (words),60,3,20,84.6,17.49,20,97.2,4.87,-0.9815,0.112,,,,,,1,1,.,1
763,57,2,1,13,.,1,Cleft Speech Characteristics (words),60,3,20,9.24,12.21,20,0.38,0.93,1.0232,0.1131,,,,,,1,1,.,1
920,57,2,1,12,.,2,Percent Correct Manner (story retell),60,3,20,86.08,10.11,20,94.94,3.62,-1.1668,0.117,,,,,,1,1,.,1
943,57,2,1,13,.,2,Phonological Processes (story retell),60,3,20,23.23,20.84,20,6.17,4.72,1.1291,0.1159,,,,,,1,1,.,1
948,57,2,1,13,.,2,Phonological Processes (sentences),60,3,20,18.41,15.24,20,4.14,4.22,1.2762,0.1204,,,,,,1,1,.,1
972,57,2,1,13,.,2,Cleft Speech Characteristics (sentences),60,3,20,18.67,18.09,20,0.05,0.23,1.4555,0.1265,,,,,,1,1,.,1
994,57,2,1,12,.,2,Percent Correct Places (conversation) ,60,3,20,78.62,19.06,20,95.94,4,-1.2577,0.1198,,,,,,1,1,.,1
2008,57,2,1,13,.,2,Cleft Speech Characteristics (conversation),60,3,20,15.65,16.74,20,0.47,0.77,1.2811,0.1205,,,,,,1,1,.,1
563,59,2,1,11,.,2,Number of Consonants (Delayed Hard Palate Closure Group),13,3,14,10.6,2.59,19,10.8,2.87,-0.0726,0.1241,,,,,,1,0,.,1
682,59,2,1,11,.,2,Number of Consonants (WK Group),13,5,19,5.3,2,19,10.8,2.87,-2.2235,0.1703,,,,,,1,0,.,1
1221,66,2,2,22,1,1,MDI - expressive,24,5,51,.,.,61,.,.,-0.7514,0.0385,t,t,-3.96,0.01,,0,0,12.3,.
4,72,2,1,11,.,2,Consonant Inventory,30,3,13,14.5,4.9,13,16.3,3.5,-0.4227,0.1573,,,,,,0,1,11.7,0
5,72,2,1,12,.,2,PCC - R,30,3,13,59.4,9.1,13,77,9.6,-1.8817,0.2219,,,,,,0,1,11.7,0
1736,72,2,2,22,2,1,MCDI Vocabulary,30,3,13,348.4,168.1,13,547.3,98.9,-1.4422,0.1938,,,,,,0,1,11.7,0
1101,73,2,1,11,.,1,Consonant Inventory,26,5,10,15.1,3.31,5,15.4,1.95,-0.1014,0.3003,,,,,,0,0,15.5,0
1102,73,2,1,13,.,1,Number Compensatory Errors,26,5,10,6.3,4.9,5,3,4.8,0.6777,0.3153,,,,,,0,0,15,0
0,84,2,1,13,.,1,Ugandan - stopping,58.8,5,12,3,5,12,1,3,0.4851,0.1716,,,,,,1,1,3.3,0
1,84,2,1,13,.,1,Ugandan - comp fric,58.8,5,12,32,25,12,2,3,1.685,0.2258,,,,,,1,1,3.3,0
9,84,2,1,13,.,1,Ugandan - backing,58.8,5,12,16,17,12,1,1,1.2457,0.199,,,,,,1,1,3.3,0
12,84,2,1,13,.,1,Ugandan - delete initial,58.8,5,12,2,4,12,2,3,0,0.1667,,,,,,1,1,3.3,0
17,84,2,1,13,.,1,Ugandan - cluster simplification,58.8,5,12,40,19,12,16,14,1.4381,0.2098,,,,,,1,1,3.3,0
27,84,2,1,13,.,1,Ugandan - reduplication,58.8,5,12,0,0,12,0,2,0,0.1667,,,,,,1,1,3.3,0
39,84,2,1,13,.,1,Belgian - liquid gliding,56.4,5,12,20,21,12,8,18,0.6136,0.1745,,,,,,1,1,11.1,0
42,84,2,1,13,.,1,Ugandan - coalescence sounds,58.8,5,12,0,0,12,0,1,0,0.1667,,,,,,1,1,3.3,0
48,84,2,1,13,.,1,Belgian - backing,56.4,5,12,19,21,12,1,2,1.2067,0.197,,,,,,1,1,11.1,0
52,84,2,1,13,.,1,Ugandan - fronting,58.8,5,12,8,8,12,6,6,0.2828,0.1683,,,,,,1,1,3.3,0
